#x	y	z	B_x	B_y	B_z
-1	0.3	-0.3	2.08e-07	-8.73e-08	-4.11e-08
-1	0.3	-0.2	2.18e-07	-9.44e-08	-7.1e-08
-1	0.3	-0.1	2.19e-07	-9.89e-08	-1.01e-07
-1	0.3	0	2.11e-07	-1e-07	-1.29e-07
-1	0.3	0.1	1.95e-07	-9.77e-08	-1.51e-07
-1	0.3	0.2	1.73e-07	-9.19e-08	-1.69e-07
-1	0.3	0.3	1.46e-07	-8.31e-08	-1.79e-07
-1	0.3	0.4	1.16e-07	-7.24e-08	-1.83e-07
-1	0.3	0.5	8.63e-08	-6.08e-08	-1.79e-07
-1	0.3	0.6	5.82e-08	-4.95e-08	-1.7e-07
-1	0.3	0.7	3.39e-08	-3.93e-08	-1.56e-07
-1	0.3	0.8	1.45e-08	-3.06e-08	-1.4e-07
-1	0.3	0.9	-1.94e-10	-2.35e-08	-1.23e-07
-1	0.3	1	-1.06e-08	-1.79e-08	-1.07e-07
-1	0.4	-1	6.02e-08	-2.87e-08	2.27e-08
-1	0.4	-0.9	7.33e-08	-3.6e-08	2.34e-08
-1	0.4	-0.8	8.93e-08	-4.47e-08	2.21e-08
-1	0.4	-0.7	1.08e-07	-5.5e-08	1.73e-08
-1	0.4	-0.6	1.29e-07	-6.64e-08	7.94e-09
-1	0.4	-0.5	1.5e-07	-7.86e-08	-7.22e-09
-1	0.4	-0.4	1.68e-07	-9.08e-08	-2.83e-08
-1	0.4	-0.3	1.82e-07	-1.02e-07	-5.4e-08
-1	0.4	-0.2	1.88e-07	-1.11e-07	-8.2e-08
-1	0.4	-0.1	1.87e-07	-1.17e-07	-1.09e-07
-1	0.4	0	1.77e-07	-1.2e-07	-1.33e-07
-1	0.4	0.1	1.62e-07	-1.18e-07	-1.53e-07
-1	0.4	0.2	1.41e-07	-1.11e-07	-1.66e-07
-1	0.4	0.3	1.17e-07	-1.01e-07	-1.74e-07
-1	0.4	0.4	9.11e-08	-8.89e-08	-1.75e-07
-1	0.4	0.5	6.55e-08	-7.55e-08	-1.7e-07
-1	0.4	0.6	4.19e-08	-6.22e-08	-1.61e-07
-1	0.4	0.7	2.18e-08	-5.01e-08	-1.47e-07
-1	0.4	0.8	5.73e-09	-3.96e-08	-1.32e-07
-1	0.4	0.9	-6.3e-09	-3.09e-08	-1.16e-07
-1	0.4	1	-1.48e-08	-2.4e-08	-1.01e-07
-1	0.5	-1	5.66e-08	-3.13e-08	1.62e-08
-1	0.5	-0.9	6.79e-08	-3.89e-08	1.54e-08
-1	0.5	-0.8	8.13e-08	-4.8e-08	1.26e-08
-1	0.5	-0.7	9.67e-08	-5.87e-08	6.68e-09
-1	0.5	-0.6	1.13e-07	-7.07e-08	-3.46e-09
-1	0.5	-0.5	1.29e-07	-8.36e-08	-1.86e-08
-1	0.5	-0.4	1.43e-07	-9.68e-08	-3.86e-08
-1	0.5	-0.3	1.52e-07	-1.09e-07	-6.23e-08
-1	0.5	-0.2	1.55e-07	-1.19e-07	-8.74e-08
-1	0.5	-0.1	1.51e-07	-1.27e-07	-1.11e-07
-1	0.5	0	1.41e-07	-1.3e-07	-1.32e-07
-1	0.5	0.1	1.26e-07	-1.28e-07	-1.48e-07
-1	0.5	0.2	1.08e-07	-1.22e-07	-1.58e-07
-1	0.5	0.3	8.68e-08	-1.11e-07	-1.64e-07
-1	0.5	0.4	6.53e-08	-9.83e-08	-1.63e-07
-1	0.5	0.5	4.45e-08	-8.41e-08	-1.58e-07
-1	0.5	0.6	2.56e-08	-7.01e-08	-1.48e-07
-1	0.5	0.7	9.73e-09	-5.71e-08	-1.36e-07
-1	0.5	0.8	-2.88e-09	-4.57e-08	-1.22e-07
-1	0.5	0.9	-1.23e-08	-3.62e-08	-1.08e-07
-1	0.5	1	-1.89e-08	-2.84e-08	-9.46e-08
-1	0.6	-1	5.21e-08	-3.25e-08	1.02e-08
-1	0.6	-0.9	6.15e-08	-4e-08	8.43e-09
-1	0.6	-0.8	7.24e-08	-4.9e-08	4.64e-09
-1	0.6	-0.7	8.44e-08	-5.94e-08	-1.95e-09
-1	0.6	-0.6	9.69e-08	-7.12e-08	-1.21e-08
-1	0.6	-0.5	1.09e-07	-8.39e-08	-2.64e-08
-1	0.6	-0.4	1.18e-07	-9.69e-08	-4.45e-08
-1	0.6	-0.3	1.23e-07	-1.09e-07	-6.54e-08
-1	0.6	-0.2	1.22e-07	-1.2e-07	-8.72e-08
-1	0.6	-0.1	1.17e-07	-1.27e-07	-1.08e-07
-1	0.6	0	1.06e-07	-1.31e-07	-1.25e-07
-1	0.6	0.1	9.22e-08	-1.29e-07	-1.38e-07
-1	0.6	0.2	7.6e-08	-1.23e-07	-1.46e-07
-1	0.6	0.3	5.88e-08	-1.13e-07	-1.49e-07
-1	0.6	0.4	4.16e-08	-1.01e-07	-1.48e-07
-1	0.6	0.5	2.53e-08	-8.71e-08	-1.42e-07
-1	0.6	0.6	1.09e-08	-7.32e-08	-1.34e-07
-1	0.6	0.7	-1.15e-09	-6.03e-08	-1.23e-07
-1	0.6	0.8	-1.06e-08	-4.89e-08	-1.11e-07
-1	0.6	0.9	-1.76e-08	-3.93e-08	-9.88e-08
-1	0.6	1	-2.25e-08	-3.13e-08	-8.71e-08
-1	0.7	-1	4.72e-08	-3.26e-08	5.19e-09
-1	0.7	-0.9	5.47e-08	-3.97e-08	2.69e-09
-1	0.7	-0.8	6.31e-08	-4.81e-08	-1.61e-09
-1	0.7	-0.7	7.2e-08	-5.78e-08	-8.3e-09
-1	0.7	-0.6	8.08e-08	-6.87e-08	-1.79e-08
-1	0.7	-0.5	8.84e-08	-8.05e-08	-3.07e-08
-1	0.7	-0.4	9.36e-08	-9.26e-08	-4.65e-08
-1	0.7	-0.3	9.52e-08	-1.04e-07	-6.42e-08
-1	0.7	-0.2	9.25e-08	-1.14e-07	-8.23e-08
-1	0.7	-0.1	8.56e-08	-1.21e-07	-9.92e-08
-1	0.7	0	7.54e-08	-1.25e-07	-1.13e-07
-1	0.7	0.1	6.28e-08	-1.24e-07	-1.24e-07
-1	0.7	0.2	4.91e-08	-1.18e-07	-1.3e-07
-1	0.7	0.3	3.52e-08	-1.09e-07	-1.32e-07
